name,link
abs,../arith-integer/#abs
acos,../trig/#acos
aj,../joins/#aj-aj0-asof-join
aj0,../joins/#aj-aj0-asof-join
all,../logic/#all
and,../logic/#and-minimum
any,../logic/#any
asc,../sort/#asc
asin,../trig/#asin
asof,../joins/#asof
atan,../trig/#atan
attr,../metadata/#attr
avg,../stats-aggregates/#avg-average
avgs,../stats-aggregates/#avgs-averages
bin,../search/#bin-binr
binr,../search/#bin-binr
ceiling,../arith-integer/#ceiling
cols,../metadata/#cols
cor,../stats-aggregates/#cor-correlation
cos,../trig/#cos
count,../lists/#count
cov,../stats-aggregates/#cov-covariance
cross,../lists/#cross
csv,../filewords/#csv
cut,../lists/#cut
delete,../qsql/#delete
deltas,../arith-integer/#deltas
desc,../sort/#desc
dev,../stats-aggregates/#dev-standard-deviation
differ,../comparison/#differ
distinct,../search/#distinct
div,../arith-integer/#div
do,../control/#do
dsave,../filewords/#dsave
each,../control/#each
ej,../joins/#ej-equi-join
ema,../stats-moving/#ema
enlist,../lists/#enlist
eval,../parsetrees/#eval
except,../select/#except
exec,../qsql/#exec
exit,../errors/#exit
exp,../arith-float/#exp
fby,../qsql/#fby
fills,../lists/#fills
first,../select/#first
fkeys,../metadata/#fkeys
flip,../lists/#flip
floor,../arith-integer/#floor
get,../filewords/#get
getenv,../os/#getenv
group,../dictsandtables/#group
gtime,../os/#gtime
hclose,../filewords/#hclose
hcount,../filewords/#hcount
hdel,../filewords/#hdel
hopen,../filewords/#hopen
hsym,../filewords/#hsym
iasc,../sort/#iasc
idesc,../sort/#idesc
if,../control/#if
ij,../joins/#ij-ijf-inner-join
ijf,../joins/#ij-ijf-inner-join
in,../search/#in
insert,../qsql/#insert
inter,../select/#inter
inv,../matrixes/#inv
key,../metadata/#key
keys,../metadata/#keys
last,../select/#last
like,../strings/#like
lj,../joins/#lj-ljf-left-join
ljf,../joins/#lj-ljf-left-join
load,../filewords/#load
log,../arith-float/#log
lower,../strings/#lower
lsq,../matrixes/#lsq
ltime,../os/#ltime
ltrim,../strings/#ltrim
mavg,../stats-moving/#mavg
max,../stats-aggregates/#max-maximum
maxs,../stats-aggregates/#maxs-maximums
mcount,../stats-moving/#mcount
md5,../strings/#md5
mdev,../stats-moving/#mdev
med,../stats-aggregates/#med-median
meta,../metadata/#meta
min,../stats-aggregates/#min-minimum
mins,../stats-aggregates/#mins-minimums
mmax,../stats-moving/#mmax
mmin,../stats-moving/#mmin
mmu,../matrixes/#mmu
mod,../arith-integer/#mod
msum,../stats-moving/#msum
neg,../arith-integer/#neg
next,../select/#next
not,../logic/#not
null,../logic/#null
or,../logic/#or-maximum
over,../control/#over
parse,../parsetrees/#parse
peach,../control/#peach
pj,../joins/#pj-plus-join
prd,../arith-float/#prd
prds,../arith-float/#prds
prev,../select/#prev
prior,../control/#prior
rand,../random/#rand
rank,../sort/#rank
ratios,../arith-float/#ratios
raze,../lists/#raze
read0,../filewords/#read0
read1,../filewords/#read1
reciprocal,../arith-float/#reciprocal
reval,../parsetrees/#reval
reverse,../lists/#reverse
rload,../filewords/#rload
rotate,../lists/#rotate
rsave,../filewords/#rsave
rtrim,../strings/#rtrim
save,../filewords/#save
scan,../control/#scan
scov,../stats-aggregates/#scov-statistical-covariance
sdev,../stats-aggregates/#sdev-statistical-standard-deviation
select,../qsql/#select
set,../filewords/#set
setenv,../os/#setenv
show,../devtools/#show
signum,../arith-integer/#signum
sin,../trig/#sin
sqrt,../arith-float/#sqrt
ss,../strings/#ss
ssr,../strings/#ssr
string,../casting/#string
sublist,../select/#sublist
sum,../arith-integer/#sum
sums,../arith-integer/#sums
sv,../casting/#sv
sv,../lists/#sv
svar,../stats-aggregates/#svar-statistical-variance
system,../syscmds/#system
tables,../metadata/#tables
tan,../trig/#tan
til,../arith-integer/#til
trim,../strings/#trim
type,../metadata/#type
uj,../joins/#uj-ujf-union-join
ujf,../joins/#uj-ujf-union-join
ungroup,../dictsandtables/#ungroup
union,../select/#union
update,../qsql/#update
upper,../strings/#upper
upsert,../qsql/#upsert
value,../metadata/#value
var,../stats-aggregates/#var-variance
view,../metadata/#view
views,../metadata/#views
vs,../casting/#vs
vs,../lists/#vs
wavg,../stats-aggregates/#wavg-weighted-average
where,../select/#where
while,../control/#while
within,../search/#within
wj,../joins/#wj-wj1-window-join
wj1,../joins/#wj-wj1-window-join
wsum,../stats-aggregates/#wsum-weighted-sum
xasc,../dictsandtables/#xasc
xbar,../arith-integer/#xbar
xcol,../dictsandtables/#xcol
xcols,../dictsandtables/#xcols
xdesc,../dictsandtables/#xdesc
xexp,../arith-float/#xexp
xgroup,../dictsandtables/#xgroup
xkey,../dictsandtables/#xkey
xlog,../arith-float/#xlog
xprev,../select/#xprev
xrank,../sort/#xrank
